
2023/07/25 (20:06:51) | ===> btop++ v.1.2.13
2023/07/25 (20:06:51) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/07/26 (11:36:10) | ===> btop++ v.1.2.13
2023/07/26 (11:36:10) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/07/26 (11:36:16) | ===> btop++ v.1.2.13
2023/07/26 (11:36:16) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/07/26 (11:36:20) | ===> btop++ v.1.2.13
2023/07/26 (11:36:20) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/07/26 (11:59:42) | ===> btop++ v.1.2.13
2023/07/26 (11:59:42) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/07/26 (17:14:29) | ===> btop++ v.1.2.13
2023/07/26 (17:14:29) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
